"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.042,6,"1",0.001,1e-04,0.0062,0.0025,0.0024,0.004,0.0036
29.042,7,"1",0.0015,1e-04,0.0117,0.0068,0.0033,0.0113,0.0051
29.044,1,"0",9e-04,4e-04,0.0016,0.0032,0.0019,0.0065,0.0013
29.044,2,"0",9e-04,3e-04,0.0016,0.0025,0.0019,0.0115,0.0018
29.044,3,"0",0.001,3e-04,0.0017,0.0048,0.0019,0.0087,0.0027
29.044,4,"0",0.0015,2e-04,0.0038,0.002,0.0026,0.0111,0.0031
29.044,5,"0",0.001,2e-04,0.0022,0.0025,0.0018,0.0087,0.0028
29.044,6,"0",0.0016,6e-04,0.0031,0.0033,0.0034,0.0105,0.0022
29.044,7,"0",8e-04,3e-04,0.001,0.0027,0.0015,0.0089,0.0018
29.044,8,"0",0.001,3e-04,0.0027,0.0044,0.002,0.0083,0.0027
29.045,1,"1",0.0011,0.0011,0.0149,0.0028,0.0026,0.0068,0.001
29.045,2,"1",0.001,8e-04,0.0084,0.0019,0.0023,0.0062,0.0042
29.045,3,"1",0.0013,6e-04,0.0162,0.0052,0.0022,0.0091,0.003
29.045,4,"1",0.0013,5e-04,0.0116,0.0026,0.0028,0.01,4e-04
29.045,5,"1",0.001,6e-04,0.0098,0.0018,0.0012,0.0038,0.0038
29.045,6,"1",0.0013,0.002,0.0111,0.005,0.0025,0.0115,0.0031
29.045,7,"1",0.0013,9e-04,0.0214,0.0048,0.0026,0.0067,0.0012
29.045,8,"0",0.0013,4e-04,0.0193,0.0047,0.0032,0.0077,0.0065
29.048,1,"1",5e-04,2e-04,0.0042,0.0023,8e-04,0.0052,0.0019
29.048,2,"0",6e-04,3e-04,0.0059,0.0028,0.001,0.0062,0.003
29.048,3,"0",4e-04,4e-04,0.0057,0.0017,7e-04,0.0031,0.003
29.048,4,"1",4e-04,1e-04,0.0031,0.002,7e-04,0.0029,0.0014
29.048,5,"2",6e-04,2e-04,0.0089,0.0026,0.001,0.0047,0.003
29.048,6,"1",9e-04,7e-04,0.0145,0.004,0.002,0.0057,0.0056
29.048,7,"0",5e-04,5e-04,0.0028,0.0022,8e-04,0.0078,0.0018
29.048,8,"0",0.001,3e-04,0.0047,0.0045,0.0014,0.0059,0.0038
29.049,1,"0",5e-04,4e-04,0.0017,0.0014,0.0013,0.0038,0.0012
29.049,2,"0",0.0013,5e-04,0.0028,0.0033,0.0015,0.0044,0.0018
29.049,3,"0",6e-04,5e-04,0.001,0.0037,0.0015,0.0027,0.0015
29.049,4,"0",6e-04,4e-04,0.0038,0.0014,8e-04,0.0027,0.0011
29.049,5,"0",6e-04,3e-04,0.0017,0.0027,0.0013,0.0054,0.0018
29.05,1,"0",4e-04,0,7e-04,0.0019,7e-04,0.0024,0.0022
29.05,2,"0",8e-04,3e-04,8e-04,0.0038,0.0013,0.0073,0.0019
29.05,3,"0",5e-04,8e-04,0.0025,0.005,0.001,0.0104,0.0034
29.05,4,"0",6e-04,0,0.0015,0.0038,0.0012,0.0093,0.0018
29.05,5,"0",5e-04,3e-04,0.0018,0.0029,0.0011,0.0065,0.0013
29.05,6,"0",6e-04,0,5e-04,0.0029,0.0011,0.0099,0.0012
29.05,7,"0",6e-04,0,8e-04,0.0034,0.0019,0.0065,0.0012
29.05,8,"0",6e-04,0,0.0011,0.003,0.0012,0.0041,0.0011
29.052,1,"0",9e-04,6e-04,0.0015,0.003,0.0034,0.0071,0.0037
29.052,2,"0",9e-04,4e-04,0.0029,0.0013,0.0019,0.006,0.0037
29.052,3,"0",0.0011,9e-04,0.0083,0.0056,0.0033,0.006,0.0073
29.052,4,"0",0.0014,5e-04,0.0047,0.0029,0.002,0.0047,0.0051
29.052,5,"0",0.001,6e-04,0.0042,0.0038,0.0029,0.0052,0.0028
29.052,6,"0",9e-04,3e-04,0.001,0.0016,0.001,0.0023,0.002
29.052,7,"0",0.001,5e-04,0.0025,0.0033,0.0019,0.0038,0.0023
29.052,8,"0",8e-04,3e-04,0.001,0.0015,9e-04,0.0019,0.001
29.053,1,"0",0.0011,0.0014,0.004,0.0042,0.0017,0.0048,0.0022
29.053,2,"0",0.0016,8e-04,0.0034,0.0055,0.0026,0.011,0.0047
29.053,3,"0",0.001,0.002,0.0121,0.006,0.0022,0.0065,0.004
29.053,4,"0",0.001,0.0024,0.0078,0.0084,0.0025,0.0109,0.0054
29.053,5,"0",9e-04,6e-04,0.0023,0.0038,0.0015,0.0054,0.0012
29.053,6,"0",0.0011,0.0019,0.0023,0.003,0.0013,0.0068,0.0013
29.053,7,"0",8e-04,0.0019,0.0035,0.0039,0.0021,0.003,0.0017
29.053,8,"0",0.0015,0.0039,0.0114,0.0087,0.0027,0.0051,0.0066
29.054,1,"1",7e-04,0.0016,0.0153,0.0031,0.0018,0.0078,0.0075
29.054,2,"1",8e-04,0.0016,0.009,0.002,0.0018,0.0062,0.0027
29.054,3,"1",6e-04,0.0038,0.0062,0.0022,0.0017,0.0047,0.0022
